# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       479  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       459  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       151  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       142  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       138  ................  ffffffffffffffffffffffffffffffff
       133  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       127  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       127  ................  01010101010101010101010101010101
        99  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
# epoch 7000  H=7.7600 C=7.5379 HO=0.1553  A(t)=315
       645  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       544  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       264  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       201  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       142  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       139  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       132  ................  ffffffffffffffffffffffffffffffff
       123  ................  02020202020202020202020202020202
       113  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       105  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
# epoch 7250  H=7.7617 C=7.5335 HO=0.1641  A(t)=315
       734  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       584  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       378  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       253  ................  01010101010101010101010101010101
       203  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       191  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       148  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       147  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       140  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       110  1111111111111111  31313131313131313131313131313131
# epoch 7500  H=7.7582 C=7.5260 HO=0.1678  A(t)=315
       619  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       477  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       412  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       216  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       179  ................  ffffffffffffffffffffffffffffffff
       178  ................  01010101010101010101010101010101
       174  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       146  ................  03030303030303030303030303030303
       142  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
