# epoch 0  H=7.9999 C=8.0025 HO=-0.0026  A(t)=0
       763  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       741  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       585  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       488  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       432  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       321  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       253  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       228  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       207  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       199  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 5600  H=7.5783 C=7.3461 HO=0.2321  A(t)=380
       784  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       621  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       619  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       502  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       433  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       400  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       299  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       240  9999999999999999  39393939393939393939393939393939
       194  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       159  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
