# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       903  ....m}Q.QQ?',Y.b  a0e2fde76d7d510851513f272c590a62
       895  .....m}Q.QQ?',Y.  08a0e2fde76d7d510851513f272c590a
       812  ..m}Q.QQ6.,Y..Q.  fd8e6d7d5108515136fa2c590a0151c7
       812  ...m}Q.QQ6.,Y..Q  e2fd8e6d7d5108515136fa2c590a0151
       760  .&[[>........m}Q  8e265b5b3eea089108a0e2fde76d7d51
# epoch 6750  H=6.2581 C=1.4563 HO=5.4727  A(t)=1441
       903  .....m}Q.QQ?',Y.  08a0e2fde76d7d510851513f272c590a
       893  ....m}Q.QQ?',Y.b  a0e2fde76d7d510851513f272c590a62
       818  ......m}Q.QQ?',Y  9108a0e2fde76d7d510851513f272c59
       818  .......m}Q.QQ?',  089108a0e2fde76d7d510851513f272c
       776  ...m}Q.Q.?.,Y.bQ  e2fde76d7d510851c93ffa2c590a6251
       752  m}Q.Q.?.,Y.bQ..]  6d7d510851c93ffa2c590a6251c7f05d
       740  ..m}Q.Q.?.,Y.bQ.  fde76d7d510851c93ffa2c590a6251c7
       740  .m}Q.Q.?.,Y.bQ..  e76d7d510851c93ffa2c590a6251c7f0
       726  ]+]&...YY...[YY4  5d2b5d26b0c7125959d8a0c75b595934
       679  ...m}Q.QQ?',Y.bQ  e2fde76d7d510851513f272c590a6251
# epoch 7000  H=6.4013 C=1.5147 HO=5.6180  A(t)=1812
       741  ]x...YY...[:Y4.4  5d78b2c7125959d8a0c75b3a59341e34
       648  t*Yp..&[[>......  742a5970948e265b5b3e92089108a095
       648  4t*Yp..&[[>.....  34742a5970948e265b5b3e92089108a0
       648  *Yp..&[[>.......  2a5970948e265b5b3e92089108a095fd
       644  4t4Y.Fo&[[>...h.  34743459e9466f265b5b3eeaebe268a0
       636  t4Y.Fo&[[>...h..  743459e9466f265b5b3eeaebe268a0e2
       635  4t..YF..[[>.....  3474a9d759468ef25b5b3eea08e708fa
       634  Y.Fo&[[>...h....  59e9466f265b5b3eeaebe268a0e2fde7
       634  4Y.Fo&[[>...h...  3459e9466f265b5b3eeaebe268a0e2fd
       631  t..YF..[[>......  74a9d759468ef25b5b3eea08e708fae2
