# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       160  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       120  ................  03030303030303030303030303030303
       113  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
       107  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
       100  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
# epoch 7750  H=7.7772 C=7.5616 HO=0.1477  A(t)=311
       619  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       555  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       495  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       154  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       146  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       146  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       141  ................  fefefefefefefefefefefefefefefefe
       136  ................  02020202020202020202020202020202
       125  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
