# epoch 0  H=7.9996 C=8.0025 HO=-0.0004  A(t)=0
       336  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        52  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        25  ................  dadadadadadadadadadadadadadadada
        22  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        21  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        21  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        19  wwwwwwwwwwwwwwww  77777777777777777777777777777777
        18  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        16  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        16  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
# epoch 1300  H=7.9932 C=7.9553 HO=-0.0069  A(t)=83
       322  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        45  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        25  ................  dadadadadadadadadadadadadadadada
        21  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        19  wwwwwwwwwwwwwwww  77777777777777777777777777777777
        18  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        16  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        16  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
        16  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        12  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
# epoch 1350  H=7.9930 C=7.9541 HO=-0.0071  A(t)=85
       283  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        62  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        49  ................  d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5
