# epoch 0  H=7.9999 C=8.0025 HO=-0.0026  A(t)=0
       535  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       450  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       371  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       332  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       318  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       242  8888888888888888  38383838383838383838383838383838
       213  9999999999999999  39393939393939393939393939393939
# epoch 4800  H=7.6005 C=7.3393 HO=0.2612  A(t)=418
       853  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       708  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       689  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       557  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       484  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       372  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       284  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       198  8888888888888888  38383838383838383838383838383838
       185  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       158  ................  fefefefefefefefefefefefefefefefe
# epoch 5000  H=7.5999 C=7.3289 HO=0.2711  A(t)=420
       895  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       687  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       644  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       611  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       508  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
