# epoch 0  H=7.9968 C=8.0032 HO=-0.0037  A(t)=0
         1  ..[.v.......d...  ffff5bbd761690e0f415bd946402bdd4
         8  ................  02010101010101010101010101010101
         7  ................  01010101010101010101010101010202
         7  ................  01010101010101010101010101010001
         7  ................  01010101010101010101010101000101
         7  ................  01010101010101010101000101010101
# epoch 9500  H=6.4738 C=6.3322 HO=0.2695  A(t)=16
      1583  ................  01010101010101010101010101010101
       862  ................  00000000000000000000000000000000
        15  ...............,  0101010101010101010101010101012c
        10  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
        10  ................  01010101010101010101010101010102
         9  ................  02010101010101010101010101010101
         7  ................  01010101010101010101010101010202
         6  ..............,.  01010101010101010101010101012c01
         5  .............,..  010101010101010101010101012c0101
         5  ................  01000000000000000000000000000000
# epoch 9750  H=6.4810 C=6.3507 HO=0.2604  A(t)=16
      1507  ................  01010101010101010101010101010101
       879  ................  00000000000000000000000000000000
        10  ...............,  0101010101010101010101010101012c
         8  ................  02010101010101010101010101010101
         6  ................  01010102010101010101010101010101
         5  ................  01020101010101010101010101010101
         5  ................  01010201010101010101010101010101
         5  ................  01010101020101010101010101010101
         5  ................  01010101010101010101010101010202
         5  ................  01010101010101010101010101010102
# epoch 10000  H=6.4601 C=6.3242 HO=0.2660  A(t)=18
      1428  ................  01010101010101010101010101010101
       946  ................  00000000000000000000000000000000
        14  9999999999999999  39393939393939393939393939393939
         8  ................  ffffffffffffffffffffffffffffffff
         8  ................  b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2
         8  ...............,  0101010101010101010101010101012c
         7  ................  ff000000000000000000000000000000
         7  ................  0000000000000000000000000000002e
         6  ................  00ff0000000000000000000000000000
         5  ................  01010101010101010101010101010103
# epoch 10250  H=6.4439 C=6.3335 HO=0.2238  A(t)=20
      1500  ................  01010101010101010101010101010101
       888  ................  00000000000000000000000000000000
         9  ...............,  0101010101010101010101010101012c
         9  ................  01010101010101010101010101010102
         7  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
         6  ................  02010101010101010101010101010101
         6  ................  01010101010101010101010101010202
         6  ................  01000000000000000000000000000000
         5  ................  0101ff01010101010101010101010101
         5  ................  01010102010101010101010101010101
# epoch 10500  H=6.3850 C=6.2852 HO=0.2051  A(t)=20
      1364  ................  01010101010101010101010101010101
       865  ................  00000000000000000000000000000000
        16  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        16  ...............,  0101010101010101010101010101012c
        11  ................  02010101010101010101010101010101
         9  ............,...  0101010101010101010101012c010101
         9  .............,..  010101010101010101010101012c0101
         9  ..............,.  01010101010101010101010101012c01
         8  ................  02020101010101010101010101010101
         8  ...........,....  01010101010101010101012c01010101
# epoch 10750  H=6.4102 C=6.2915 HO=0.2238  A(t)=21
      1353  ................  01010101010101010101010101010101
       892  ................  00000000000000000000000000000000
        18  ................  02020202020202020202020202020202
        12  ...............,  0101010101010101010101010101012c
         8  ................  02010101010101010101010101010101
         7  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
         7  ..............,.  01010101010101010101010101012c01
         6  .............,..  010101010101010101010101012c0101
         6  ................  01010101010101010101010101010102
         6  ................  01000000000000000000000000000000
# epoch 11000  H=6.4459 C=6.3246 HO=0.2379  A(t)=21
      1509  ................  01010101010101010101010101010101
       885  ................  00000000000000000000000000000000
        25  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        21  ................  f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3
        17  ...............,  0101010101010101010101010101012c
        11  ................  02010101010101010101010101010101
         8  ..............,.  01010101010101010101010101012c01
         6  .............,..  010101010101010101010101012c0101
         5  ................  02020101010101010101010101010101
         5  ................  010101010101010101010101010101ff
# epoch 11250  H=6.4514 C=6.3279 HO=0.2205  A(t)=22
      1475  ................  01010101010101010101010101010101
      1127  ................  00000000000000000000000000000000
        12  ...............,  0101010101010101010101010101012c
        11  ................  01010101010101010101010101010102
         9  ................  f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3
         9  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
         8  ................  02010101010101010101010101010101
         6  ..............,.  01010101010101010101010101012c01
         6  ................  0000000000000000000000000000002e
         5  ,...............  2c010101010101010101010101010101
# epoch 11500  H=6.4952 C=6.3776 HO=0.2234  A(t)=24
      1447  ................  01010101010101010101010101010101
       881  ................  00000000000000000000000000000000
        23  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        22  ................  02020202020202020202020202020202
         9  ................  01010101010101010101010101010102
         8  ...............,  0101010101010101010101010101012c
         7  ................  01010101010101010201010101010101
         6  ................  01010101010101020101010101010101
         5  ................  01010101010201010101010101010101
         5  ................  01010101010101010102010101010101
# epoch 11750  H=6.4981 C=6.3895 HO=0.2221  A(t)=24
      1131  ................  00000000000000000000000000000000
      1088  ................  01010101010101010101010101010101
        12  ................  02010101010101010101010101010101
        11  ................  0000000000000000000000000000002e
        10  ...............,  0101010101010101010101010101012c
         8  ................  01010101010101010101010101010102
         7  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
         6  ................  04040404040404040404040404040404
         5  ................  ff010101010101010101010101010101
         5  ................  01020101010101010101010101010101
# epoch 12000  H=6.4979 C=6.3943 HO=0.2098  A(t)=24
      1146  ................  01010101010101010101010101010101
       891  ................  00000000000000000000000000000000
         8  ................  02010101010101010101010101010101
         8  ................  01010101010101010101010101010102
         7  ................  11111111111111111111111111111111
         7  ................  00000000000000000000000000000001
         5  ...............,  0101010101010101010101010101012c
         5  ................  000000000000000000000000000000ff
         4  A...............  41010101010101010101010101010101
         4  ................  01010101010101010101010101010202
# epoch 12250  H=6.5249 C=6.3886 HO=0.2372  A(t)=24
      1203  ................  01010101010101010101010101010101
       863  ................  00000000000000000000000000000000
