# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       818  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       724  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       608  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       594  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       564  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       320  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       311  9999999999999999  39393939393939393939393939393939
       263  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       204  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       183  0000000000000000  30303030303030303030303030303030
# epoch 7000  H=7.5446 C=7.2979 HO=0.1985  A(t)=361
      1088  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       597  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       554  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       499  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       435  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       247  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       237  9999999999999999  39393939393939393939393939393939
       236  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
       179  7777777777777777  37373737373737373737373737373737
       174  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
# epoch 7250  H=7.5515 C=7.3100 HO=0.1951  A(t)=361
       669  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       609  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
