# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       515  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       271  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       192  ................  02020202020202020202020202020202
       177  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       131  ................  06060606060606060606060606060606
       118  ................  eaeaeaeaeaeaeaeaeaeaeaeaeaeaeaea
       115  ................  fafafafafafafafafafafafafafafafa
       104  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 6500  H=7.7929 C=7.5802 HO=0.1448  A(t)=314
       506  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       498  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       430  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       215  ................  01010101010101010101010101010101
       177  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       176  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       154  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       153  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       144  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       139  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
# epoch 6750  H=7.7940 C=7.5778 HO=0.1508  A(t)=314
       602  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       420  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       374  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       197  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       165  ................  ffffffffffffffffffffffffffffffff
       127  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
       117  ................  fefefefefefefefefefefefefefefefe
