# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
      1960  ................  01010101010101010101010101010101
       950  ................  00000000000000000000000000000000
        20  ...............,  0101010101010101010101010101012c
        17  ................  c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
         8  ................  02010101010101010101010101010101
         6  ................  01020101010101010101010101010101
         6  ..............,.  01010101010101010101010101012c01
         6  ................  01010101010101010101010101010102
         5  ................  01010102010101010101010101010101
         5  ................  01010101020101010101010101010101
# epoch 11500  H=6.4887 C=6.3340 HO=0.2697  A(t)=29
      1828  ................  01010101010101010101010101010101
       776  ................  00000000000000000000000000000000
        83  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        14  ...............,  0101010101010101010101010101012c
        10  ................  04040404040404040404040404040404
        10  ................  02020202020202020202020202020202
         8  ................  ff000000000000000000000000000000
         8  ................  000000000000ff000000000000000000
         8  ................  000000000000000000ff000000000000
         8  ................  00000000000000000000ff0000000000
# epoch 11750  H=6.4652 C=6.3063 HO=0.2642  A(t)=29
      2216  ................  01010101010101010101010101010101
       705  ................  00000000000000000000000000000000
        34  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        19  ...............,  0101010101010101010101010101012c
         8  ................  010101010101010101010101010101ff
         7  ................  01010101010101010101010101010100
         6  ................  ff000000000000000000000000000000
         6  .T.T.T.T.T.T.T.T  8e548e548e548e548e548e548e548e54
         6  ................  01010101010101010101010101ff0101
         6  ................  0101010101010101010101010101ff01
# epoch 12000  H=6.4613 C=6.3252 HO=0.2426  A(t)=29
      2306  ................  01010101010101010101010101010101
       694  ................  00000000000000000000000000000000
        26  ...............,  0101010101010101010101010101012c
        12  ..............,.  01010101010101010101010101012c01
         9  ................  02010101010101010101010101010101
         9  ................  01010101010101010101010101010102
         7  .............,..  010101010101010101010101012c0101
         7  ................  010101010101010101010101010101ff
         6  ................  01010101010101010101010101010100
         5  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
