# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       657  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       391  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       272  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       179  ................  b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3
       160  0000000000000000  30303030303030303030303030303030
       144  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       130  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       125  ................  f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
       121  ________________  20202020202020202020202020202020
# epoch 6750  H=7.7650 C=7.5336 HO=0.1669  A(t)=313
       789  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       608  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       375  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       275  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       216  ................  fefefefefefefefefefefefefefefefe
       168  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       154  ................  81818181818181818181818181818181
       142  ................  01010101010101010101010101010101
       139  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       138  ................  ffffffffffffffffffffffffffffffff
# epoch 7000  H=7.7671 C=7.5556 HO=0.1441  A(t)=313
       550  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       518  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       478  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       174  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
       145  ................  06060606060606060606060606060606
       139  ................  01010101010101010101010101010101
       122  ................  ffffffffffffffffffffffffffffffff
       114  ................  fefefefefefefefefefefefefefefefe
       110  ................  02020202020202020202020202020202
       100  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 7250  H=7.7629 C=7.5352 HO=0.1621  A(t)=313
       749  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       732  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       313  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       212  ................  02020202020202020202020202020202
       150  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       149  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       144  ................  01010101010101010101010101010101
       142  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       126  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       106  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 7500  H=7.7670 C=7.5445 HO=0.1572  A(t)=313
       709  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       583  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       484  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       184  ................  01010101010101010101010101010101
       154  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       129  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       114  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       109  ................  02020202020202020202020202020202
       107  0000000000000000  30303030303030303030303030303030
       106  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 7750  H=7.7649 C=7.5442 HO=0.1547  A(t)=313
       629  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       548  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
