# epoch 0  H=7.9973 C=8.0032 HO=-0.0032  A(t)=0
        23  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
        20  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
         9  ...............,  0101010101010101010101010101012c
         6  ................  01010101010101010101010101010102
         5  ................  02010101010101010101010101010101
         5  ................  01010101010101010101010101010103
         5  ................  00010101010101010101010101010101
         4  ................  03010101010101010101010101010101
# epoch 9250  H=6.6570 C=6.4713 HO=0.3216  A(t)=28
      1332  ................  01010101010101010101010101010101
       927  ................  00000000000000000000000000000000
       112  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        70  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
        24  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        13  ...............,  0101010101010101010101010101012c
         6  .............,..  010101010101010101010101012c0101
         6  ..............,.  01010101010101010101010101012c01
         5  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
         5  ................  01010101010101010101010101010102
# epoch 9500  H=6.6155 C=6.4889 HO=0.2725  A(t)=28
      1089  ................  01010101010101010101010101010101
       913  ................  00000000000000000000000000000000
        30  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        22  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
        11  ...............,  0101010101010101010101010101012c
         6  ................  01010101010101010101010101010102
         5  ................  02010101010101010101010101010101
         5  ...........,....  01010101010101010101012c01010101
         5  ............,...  0101010101010101010101012c010101
         5  .............,..  010101010101010101010101012c0101
# epoch 9750  H=6.5948 C=6.4476 HO=0.2955  A(t)=29
       968  ................  01010101010101010101010101010101
       962  ................  00000000000000000000000000000000
        20  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        12  ...............,  0101010101010101010101010101012c
        10  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
         7  ...........,....  01010101010101010101012c01010101
         7  ............,...  0101010101010101010101012c010101
         6  .............,..  010101010101010101010101012c0101
         6  ..............,.  01010101010101010101010101012c01
         5  ................  02010101010101010101010101010101
# epoch 10000  H=6.5169 C=6.3579 HO=0.2895  A(t)=29
      1322  ................  01010101010101010101010101010101
      1109  ................  00000000000000000000000000000000
        80  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
         9  ................  cbcbcbcbcbcbcbcbcbcbcbcbcbcbcbcb
         9  ...............,  0101010101010101010101010101012c
         6  ................  02010101010101010101010101010101
         5  ................  01000000000000000000000000000000
         4  ................  ff000000000000000000000000000000
         4  ...............<  0101010101010101010101010101013c
         4  ................  01010101010101010101010101010102
# epoch 10250  H=6.4817 C=6.3640 HO=0.2368  A(t)=29
      1452  ................  01010101010101010101010101010101
       945  ................  00000000000000000000000000000000
        14  ...............,  0101010101010101010101010101012c
         9  ................  cbcbcbcbcbcbcbcbcbcbcbcbcbcbcbcb
         8  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
         8  .............,..  010101010101010101010101012c0101
         8  ..............,.  01010101010101010101010101012c01
         7  ................  02010101010101010101010101010101
         7  ............,...  0101010101010101010101012c010101
         6  ...........,....  01010101010101010101012c01010101
# epoch 10500  H=6.4658 C=6.3610 HO=0.2139  A(t)=30
      1462  ................  01010101010101010101010101010101
       919  ................  00000000000000000000000000000000
        20  ...............,  0101010101010101010101010101012c
         7  ..............,.  01010101010101010101010101012c01
         6  .............,..  010101010101010101010101012c0101
         5  ............,...  0101010101010101010101012c010101
         4  ..........,.....  010101010101010101012c0101010101
         4  ...........,....  01010101010101010101012c01010101
         4  ................  01000000000000000000000000000000
         4  ................  00000001000000000000000000000000
# epoch 10750  H=6.4257 C=6.2988 HO=0.2381  A(t)=30
      1583  ................  01010101010101010101010101010101
       958  ................  00000000000000000000000000000000
        35  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        22  ...............,  0101010101010101010101010101012c
        12  ..............,.  01010101010101010101010101012c01
        10  .............,..  010101010101010101010101012c0101
         9  ................  02010101010101010101010101010101
         8  ............,...  0101010101010101010101012c010101
         7  ................  ff000000000000000000000000000000
         7  ..........,.....  010101010101010101012c0101010101
# epoch 11000  H=6.3841 C=6.2726 HO=0.2160  A(t)=30
      1846  ................  01010101010101010101010101010101
       784  ................  00000000000000000000000000000000
        20  ...............,  0101010101010101010101010101012c
        12  ................  02020202020202020202020202020202
        12  ..............,.  01010101010101010101010101012c01
        11  .............,..  010101010101010101010101012c0101
