# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
        57  ................  ebebebebebebebebebebebebebebebeb
        56  ................  83838383838383838383838383838383
        55  ................  02020202020202020202020202020202
        49  ................  88888888888888888888888888888888
        47  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
# epoch 6500  H=7.9823 C=7.9043 HO=0.0560  A(t)=250
       191  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       126  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        51  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        50  ................  efefefefefefefefefefefefefefefef
        50  ................  88888888888888888888888888888888
        49  ................  96969696969696969696969696969696
        47  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        43  ................  81818181818181818181818181818181
        40  ................  16161616161616161616161616161616
        40  ................  05050505050505050505050505050505
# epoch 6750  H=7.9819 C=7.9002 HO=0.0587  A(t)=250
       240  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       152  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       103  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        88  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        75  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        74  ................  cccccccccccccccccccccccccccccccc
        72  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
        51  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
        45  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
        44  ................  e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
# epoch 7000  H=7.9818 C=7.8983 HO=0.0611  A(t)=251
       198  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       130  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        84  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        82  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        78  ................  01010101010101010101010101010101
        57  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        56  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        56  VVVVVVVVVVVVVVVV  56565656565656565656565656565656
        50  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
        48  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
# epoch 7250  H=7.9816 C=7.8977 HO=0.0622  A(t)=251
       139  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       109  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       107  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        98  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        77  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        65  2222222222222222  32323232323232323232323232323232
        62  ................  a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
        53  ................  96969696969696969696969696969696
        48  5555555555555555  35353535353535353535353535353535
        45  ................  17171717171717171717171717171717
# epoch 7500  H=7.9816 C=7.8965 HO=0.0607  A(t)=252
       120  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       111  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        80  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        71  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        63  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        57  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        53  ................  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
        53  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        47  ................  e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4
        47  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 7750  H=7.9812 C=7.8973 HO=0.0612  A(t)=253
