# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       419  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       375  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       263  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       238  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       195  8888888888888888  38383838383838383838383838383838
       193  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
# epoch 6750  H=7.5425 C=7.2847 HO=0.2121  A(t)=352
       633  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       624  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       589  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       532  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       468  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       418  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       406  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       317  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       258  9999999999999999  39393939393939393939393939393939
       252  8888888888888888  38383838383838383838383838383838
# epoch 7000  H=7.5477 C=7.2869 HO=0.2140  A(t)=352
       998  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       839  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       817  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       498  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       493  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       463  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       298  9999999999999999  39393939393939393939393939393939
       205  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       202  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       189  ................  ffffffffffffffffffffffffffffffff
# epoch 7250  H=7.5444 C=7.2705 HO=0.2302  A(t)=352
       971  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
