# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
        97  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
        97  ................  02020202020202020202020202020202
# epoch 6500  H=7.7714 C=7.5407 HO=0.1619  A(t)=313
       686  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       655  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       422  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       238  ................  01010101010101010101010101010101
       155  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       140  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       122  0000000000000000  30303030303030303030303030303030
       119  ................  02020202020202020202020202020202
       110  ################  23232323232323232323232323232323
       107  ................  fefefefefefefefefefefefefefefefe
# epoch 6750  H=7.7697 C=7.5313 HO=0.1753  A(t)=314
       715  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       467  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       430  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       201  ................  fefefefefefefefefefefefefefefefe
       195  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       151  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
       149  ................  03030303030303030303030303030303
       148  7777777777777777  37373737373737373737373737373737
       144  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       144  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 7000  H=7.7655 C=7.5356 HO=0.1641  A(t)=314
       921  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       581  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       469  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       236  ................  ffffffffffffffffffffffffffffffff
       217  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       200  ................  01010101010101010101010101010101
       169  ................  fefefefefefefefefefefefefefefefe
       169  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
       162  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       133  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 7250  H=7.7638 C=7.5411 HO=0.1532  A(t)=315
       781  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       632  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       464  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       258  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       153  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       138  ................  01010101010101010101010101010101
       123  ................  fefefefefefefefefefefefefefefefe
       118  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
       104  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       104  ................  02020202020202020202020202020202
# epoch 7500  H=7.7598 C=7.5444 HO=0.1545  A(t)=315
       694  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       661  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       397  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       231  ................  ffffffffffffffffffffffffffffffff
       136  ................  01010101010101010101010101010101
       130  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       123  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       122  ................  03030303030303030303030303030303
       107  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
